user_id,amount,category,type,date
fdbce738-289f-4d0e-8e99-9d7c808a2d33,1793.14,Entertainment,expense,2026-02-03
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,9107.48,Salary,income,2025-12-15
93e94103-3e6b-43f8-ad21-60ebfbca19f1,2150.2,Food,expense,2026-03-09
93e94103-3e6b-43f8-ad21-60ebfbca19f1,1158.03,Entertainment,expense,2026-01-06
93e94103-3e6b-43f8-ad21-60ebfbca19f1,2955.52,Travel,expense,2026-01-07
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,1180.23,Travel,expense,2025-12-22
93e94103-3e6b-43f8-ad21-60ebfbca19f1,1819.05,Salary,income,2026-01-23
cfff579a-1587-4cb4-b982-deeff49ecd18,832.05,Health,expense,2025-12-11
2f98d23a-63b0-41ed-9893-2d92383e6df7,1603.86,Entertainment,expense,2025-12-19
cfff579a-1587-4cb4-b982-deeff49ecd18,1899.47,Travel,expense,2026-03-17
93e94103-3e6b-43f8-ad21-60ebfbca19f1,1705.44,Bills,expense,2026-02-21
fdbce738-289f-4d0e-8e99-9d7c808a2d33,608.64,Food,expense,2026-03-26
fdbce738-289f-4d0e-8e99-9d7c808a2d33,1553.52,Entertainment,expense,2026-01-07
93e94103-3e6b-43f8-ad21-60ebfbca19f1,758.07,Shopping,expense,2026-02-02
fdbce738-289f-4d0e-8e99-9d7c808a2d33,9228.16,Salary,income,2026-01-26
fdbce738-289f-4d0e-8e99-9d7c808a2d33,5145.15,Salary,income,2025-12-13
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,3971.52,Salary,income,2026-03-28
93e94103-3e6b-43f8-ad21-60ebfbca19f1,7719.69,Salary,income,2026-03-16
cfff579a-1587-4cb4-b982-deeff49ecd18,1788.17,Entertainment,expense,2026-03-15
fdbce738-289f-4d0e-8e99-9d7c808a2d33,4490.53,Salary,income,2025-12-19
fdbce738-289f-4d0e-8e99-9d7c808a2d33,3587.18,Salary,income,2026-03-15
2f98d23a-63b0-41ed-9893-2d92383e6df7,1394.44,Travel,expense,2026-02-21
2f98d23a-63b0-41ed-9893-2d92383e6df7,5155.07,Salary,income,2026-03-11
93e94103-3e6b-43f8-ad21-60ebfbca19f1,154.13,Travel,expense,2026-01-13
93e94103-3e6b-43f8-ad21-60ebfbca19f1,324.42,Shopping,expense,2026-01-24
93e94103-3e6b-43f8-ad21-60ebfbca19f1,5291.19,Salary,income,2026-02-03
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,1730.75,Salary,income,2026-01-31
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,2596.78,Health,expense,2025-12-20
2f98d23a-63b0-41ed-9893-2d92383e6df7,6039.87,Salary,income,2025-12-21
cfff579a-1587-4cb4-b982-deeff49ecd18,3483.22,Salary,income,2026-01-23
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,1022.84,Salary,income,2026-02-01
cfff579a-1587-4cb4-b982-deeff49ecd18,8462.5,Salary,income,2026-03-04
2f98d23a-63b0-41ed-9893-2d92383e6df7,4853.16,Salary,income,2026-03-16
cfff579a-1587-4cb4-b982-deeff49ecd18,189.65,Travel,expense,2026-03-28
93e94103-3e6b-43f8-ad21-60ebfbca19f1,1935.09,Salary,income,2026-02-10
fdbce738-289f-4d0e-8e99-9d7c808a2d33,7139.38,Salary,income,2025-12-27
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,2271.99,Health,expense,2025-12-29
cfff579a-1587-4cb4-b982-deeff49ecd18,7927.58,Salary,income,2026-03-07
cfff579a-1587-4cb4-b982-deeff49ecd18,2043.23,Shopping,expense,2026-01-12
cfff579a-1587-4cb4-b982-deeff49ecd18,2031.32,Shopping,expense,2026-02-06
cfff579a-1587-4cb4-b982-deeff49ecd18,4317.56,Salary,income,2026-02-21
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,1577.15,Health,expense,2026-03-12
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,2216.57,Bills,expense,2025-12-11
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,1683.13,Shopping,expense,2026-01-11
cfff579a-1587-4cb4-b982-deeff49ecd18,416.15,Bills,expense,2026-02-22
2f98d23a-63b0-41ed-9893-2d92383e6df7,740.01,Bills,expense,2026-01-08
93e94103-3e6b-43f8-ad21-60ebfbca19f1,584.31,Entertainment,expense,2026-03-26
cfff579a-1587-4cb4-b982-deeff49ecd18,1227.49,Salary,income,2026-01-13
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,9984.61,Salary,income,2026-03-27
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,1610.21,Salary,income,2026-01-25
93e94103-3e6b-43f8-ad21-60ebfbca19f1,992.1,Bills,expense,2026-03-26
2f98d23a-63b0-41ed-9893-2d92383e6df7,2755.16,Health,expense,2026-01-13
fdbce738-289f-4d0e-8e99-9d7c808a2d33,1817.22,Food,expense,2026-01-16
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,747.58,Shopping,expense,2026-01-24
93e94103-3e6b-43f8-ad21-60ebfbca19f1,2553.46,Shopping,expense,2026-01-10
93e94103-3e6b-43f8-ad21-60ebfbca19f1,628.54,Travel,expense,2026-02-24
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,1792.6,Health,expense,2026-02-21
2f98d23a-63b0-41ed-9893-2d92383e6df7,2000.64,Shopping,expense,2026-04-04
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,5972.83,Salary,income,2026-04-02
cfff579a-1587-4cb4-b982-deeff49ecd18,690.46,Shopping,expense,2026-03-04
2f98d23a-63b0-41ed-9893-2d92383e6df7,9193.78,Salary,income,2026-02-03
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,893.32,Bills,expense,2025-12-15
2f98d23a-63b0-41ed-9893-2d92383e6df7,1866.16,Shopping,expense,2026-01-27
2f98d23a-63b0-41ed-9893-2d92383e6df7,3051.0,Salary,income,2026-01-16
fdbce738-289f-4d0e-8e99-9d7c808a2d33,4309.41,Salary,income,2026-02-21
fdbce738-289f-4d0e-8e99-9d7c808a2d33,5768.57,Salary,income,2026-03-06
cfff579a-1587-4cb4-b982-deeff49ecd18,8585.96,Salary,income,2026-03-29
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,2497.28,Travel,expense,2026-01-30
cfff579a-1587-4cb4-b982-deeff49ecd18,1954.44,Entertainment,expense,2026-02-01
cfff579a-1587-4cb4-b982-deeff49ecd18,2749.3,Shopping,expense,2025-12-07
fdbce738-289f-4d0e-8e99-9d7c808a2d33,7770.31,Salary,income,2026-01-23
fdbce738-289f-4d0e-8e99-9d7c808a2d33,1592.51,Entertainment,expense,2025-12-30
fdbce738-289f-4d0e-8e99-9d7c808a2d33,2761.23,Salary,income,2026-01-13
2f98d23a-63b0-41ed-9893-2d92383e6df7,1961.39,Travel,expense,2026-03-07
93e94103-3e6b-43f8-ad21-60ebfbca19f1,2798.03,Entertainment,expense,2026-04-04
fdbce738-289f-4d0e-8e99-9d7c808a2d33,4994.45,Salary,income,2025-12-11
cfff579a-1587-4cb4-b982-deeff49ecd18,7290.58,Salary,income,2025-12-21
2f98d23a-63b0-41ed-9893-2d92383e6df7,1876.64,Travel,expense,2026-01-23
2f98d23a-63b0-41ed-9893-2d92383e6df7,9840.49,Salary,income,2026-01-11
cfff579a-1587-4cb4-b982-deeff49ecd18,2615.95,Health,expense,2026-02-22
cfff579a-1587-4cb4-b982-deeff49ecd18,6550.26,Salary,income,2026-03-29
fdbce738-289f-4d0e-8e99-9d7c808a2d33,603.49,Health,expense,2025-12-14
fdbce738-289f-4d0e-8e99-9d7c808a2d33,9790.89,Salary,income,2026-03-29
2f98d23a-63b0-41ed-9893-2d92383e6df7,393.91,Entertainment,expense,2025-12-27
93e94103-3e6b-43f8-ad21-60ebfbca19f1,2629.93,Shopping,expense,2026-03-15
fdbce738-289f-4d0e-8e99-9d7c808a2d33,3770.92,Salary,income,2026-03-02
cfff579a-1587-4cb4-b982-deeff49ecd18,1474.16,Salary,income,2026-02-12
2f98d23a-63b0-41ed-9893-2d92383e6df7,5024.33,Salary,income,2026-02-09
2f98d23a-63b0-41ed-9893-2d92383e6df7,880.06,Shopping,expense,2026-03-25
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,9731.55,Salary,income,2026-01-01
fdbce738-289f-4d0e-8e99-9d7c808a2d33,2399.97,Salary,income,2025-12-14
fdbce738-289f-4d0e-8e99-9d7c808a2d33,966.6,Entertainment,expense,2026-02-13
fdbce738-289f-4d0e-8e99-9d7c808a2d33,9781.28,Salary,income,2025-12-07
2f98d23a-63b0-41ed-9893-2d92383e6df7,5321.37,Salary,income,2026-02-01
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,6504.81,Salary,income,2026-01-16
93e94103-3e6b-43f8-ad21-60ebfbca19f1,584.95,Travel,expense,2026-02-07
2f98d23a-63b0-41ed-9893-2d92383e6df7,6399.88,Salary,income,2025-12-11
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,5353.41,Salary,income,2026-01-22
fdbce738-289f-4d0e-8e99-9d7c808a2d33,8905.9,Salary,income,2026-01-08
cfff579a-1587-4cb4-b982-deeff49ecd18,7500.08,Salary,income,2026-02-26
cfff579a-1587-4cb4-b982-deeff49ecd18,1311.47,Bills,expense,2026-01-11
fdbce738-289f-4d0e-8e99-9d7c808a2d33,918.29,Travel,expense,2026-01-25
fdbce738-289f-4d0e-8e99-9d7c808a2d33,2616.46,Shopping,expense,2026-03-11
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,2235.83,Salary,income,2026-04-04
2f98d23a-63b0-41ed-9893-2d92383e6df7,2003.28,Entertainment,expense,2026-03-27
fdbce738-289f-4d0e-8e99-9d7c808a2d33,1769.65,Shopping,expense,2025-12-28
2f98d23a-63b0-41ed-9893-2d92383e6df7,1860.99,Salary,income,2025-12-27
2f98d23a-63b0-41ed-9893-2d92383e6df7,2981.45,Bills,expense,2025-12-16
93e94103-3e6b-43f8-ad21-60ebfbca19f1,2911.02,Travel,expense,2026-01-11
00a6ce04-6bec-47ad-9e8a-891ce84c17c2,4328.4,Salary,income,2026-02-20
2f98d23a-63b0-41ed-9893-2d92383e6df7,5272.47,Salary,income,2026-01-21
93e94103-3e6b-43f8-ad21-60ebfbca19f1,1862.22,Entertainment,expense,2025-12-09
2f98d23a-63b0-41ed-9893-2d92383e6df7,4671.08,Salary,income,2026-03-29
